,Rxn_1,Rxn_1_Type,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Type,Rxn_2_Min,Rxn_2_Max,v1,v2,Rxn_1_Prod,Rxn_2_Prod,Type
0,THRS,pFBAOpt_Rxns,0.0,0.0136944894149886,THRD_L,ELE_Rxns,-0.0072443999815732,0.006489289808087,0.0072053134154795,0.0,0.0,-4.7011010966128614e-05,PSL
1,PUNP5,pFBAOpt_Rxns,-0.0012101192260161,-0.0010729251662269,HXPRT,MLE_Rxns,0.0,6.85967020391584e-05,-0.0011415393091738,0.0,1.2983673717276918e-06,0.0,PSL
2,PIt,pFBAOpt_Rxns,-0.0582458892604336,-0.0581703565549105,PIabc,MLE_Rxns,0.0,6.85963535485297e-05,-0.0582398409023881,0.0,0.003388184146137255,0.0,PSL
3,PREPTTA,pFBAOpt_Rxns,-1.68178230524063e-05,1.99486967176199e-05,PREPHACPH,MLE_Rxns,0.0,3.42946125231562e-05,-1.43460929393768e-05,0.0,-3.3549365152304984e-10,0.0,PSL
4,SADT,pFBAOpt_Rxns,0.003320821627865,0.0034168495348338,SADT2,MLE_Rxns,0.0,6.85973558574929e-05,0.0,0.0010435339484268,1.1346747834436547e-05,0.0,PSL
5,P5CRx,pFBAOpt_Rxns,0.0,2.68833988916595,P5CR,ELE_Rxns,0.0,2.68833980527963,0.0049956468328731,0.0,0.0,0.0,PSL
6,RPE,pFBAOpt_Rxns,-0.0352506320923567,-0.0351888937875628,PGL,MLE_Rxns,0.0,8.23279481173266e-05,0.0,0.0,0.0012404307486423925,0.0,PSL
7,RPE,pFBAOpt_Rxns,-0.0352506320923567,-0.0351888937875628,G6PDH2r,MLE_Rxns,0.0,8.23279481173266e-05,0.0,0.0166615975322202,0.0012404307486423925,0.0,PSL
8,RPE,pFBAOpt_Rxns,-0.0352506320923567,-0.0351888937875628,GND,MLE_Rxns,0.0,8.23279481173266e-05,0.0,0.0,0.0012404307486423925,0.0,PSL
9,TRPS1,pFBAOpt_Rxns,0.0,0.0010637322027286,TRPS3,ELE_Rxns,0.0,0.0010637321894505,-0.0107572595588863,0.0,0.0,0.0,PSL
10,TRPS1,pFBAOpt_Rxns,0.0,0.0010637322027286,TRPS2,ELE_Rxns,0.0,0.0010637321894505,-0.0107572595588863,0.0,0.0,0.0,PSL
11,MANAT2,pFBAOpt_Rxns,0.0,0.0002789343425761,G16MTM2,pFBAOpt_Rxns,0.0,0.0002789343437558,6.694844648483e-05,3.84139045372141e-05,0.0,0.0,PSL
12,IPDPS,pFBAOpt_Rxns,0.0,0.0027226051902504,IPDDI,ELE_Rxns,-0.0024750956799835,0.0002475095679983,5.76471317063253e-05,5.81200799154019e-05,0.0,-6.126098625071747e-07,PSL
13,MAN1PT2,pFBAOpt_Rxns,0.0032957399962469,0.0033643959256007,MAN1PT,MLE_Rxns,0.0,6.85984607409497e-05,-0.0083600427024066,0.0033643959099672,1.1088174215212336e-05,0.0,PSL
