Var1,Var2
ALATA_L,VPAMTr
CPPPGO,CPPPGO2
VALTA,VPAMTr
IMPD,XPPT
IMPD,HXAND
ECOAH1,3HAD80
ECOAH1,3HAD40
ECOAH1,3OAS60
ECOAH1,3OAR60
ECOAH1,3OAR80
ECOAH1,3OAS80
ECOAH1,3OAR40
ECOAH1,3HAD60
ECOAH2,3HAD80
ECOAH2,3HAD40
ECOAH2,3OAS60
ECOAH2,3OAR60
ECOAH2,3OAR80
ECOAH2,3OAS80
ECOAH2,3OAR40
ECOAH2,3HAD60
ECOAH3,3HAD80
ECOAH3,3HAD40
ECOAH3,3OAS60
ECOAH3,3OAR60
ECOAH3,3OAR80
ECOAH3,3OAS80
ECOAH3,3OAR40
ECOAH3,3HAD60
TRPS3,TRPS1
ASNS2,ASNS1
DMPPS,IPDDI
IPDPS,IPDDI
G3PD2,GLYK
G3PD2,ALCD19
G3PD2,GAPP
AACPS3,3OAR160
AACPS3,3OAS160
AACPS3,3HAD160
AACPS4,3OAS161
AACPS4,3HAD161
AACPS4,3OAR161
PRPPS,R1PK
PRPPS,R15BPK
GMPS,GMPS2
ACACT2r,3HAD80
ACACT2r,3HAD40
ACACT2r,3OAS60
ACACT2r,3OAR60
ACACT2r,3OAR80
ACACT2r,3OAS80
ACACT2r,3OAR40
ACACT2r,3HAD60
ACACT3r,3HAD80
ACACT3r,3HAD40
ACACT3r,3OAS60
ACACT3r,3OAR60
ACACT3r,3OAR80
ACACT3r,3OAS80
ACACT3r,3OAR40
ACACT3r,3HAD60
Kt2pp,Kabcpp
O2tpp,SUCCtex
O2tpp,CPPPGO2
HACD1,3HAD80
HACD1,3HAD40
HACD1,3OAS60
HACD1,3OAR60
HACD1,3OAR80
HACD1,3OAS80
HACD1,3OAR40
HACD1,3HAD60
O2tex,SUCCtex
O2tex,CPPPGO2
HACD2,3HAD80
HACD2,3HAD40
HACD2,3OAS60
HACD2,3OAR60
HACD2,3OAR80
HACD2,3OAS80
HACD2,3OAR40
HACD2,3HAD60
GLCtex_copy1,GLCtex_copy2
FACOAE160,3OAR160
FACOAE160,3OAS160
FACOAE160,3HAD160
GLUDy,GLUSy
HACD3,3HAD80
HACD3,3HAD40
HACD3,3OAS60
HACD3,3OAR60
HACD3,3OAR80
HACD3,3OAS80
HACD3,3OAR40
HACD3,3HAD60
DUTPDP,DURIK1
ACACT1r,3HAD80
ACACT1r,3HAD40
ACACT1r,3OAS60
ACACT1r,3OAR60
ACACT1r,3OAR80
ACACT1r,3OAS80
ACACT1r,3OAR40
ACACT1r,3HAD60
AACPS7,3OAR120
AACPS7,3HAD120
AACPS7,3OAS120
FACOAE161,3OAS161
FACOAE161,3HAD161
FACOAE161,3OAR161
PPPGO3,PPPGO
PDX5PO2,PDX5POi
RPI,EDTXS1
RPI,EDTXS2
RPI,LIPAabcpp
RPI,ENLIPAabctex
FACOAE120,3OAR120
FACOAE120,3HAD120
FACOAE120,3OAS120
SO4t2pp,SULabcpp
G3PAT160,APG3PAT160
G3PAT160,ACPPAT160
G3PAT161,ACPPAT161
G3PAT161,APG3PAT161
ZN2tpp,ZNabcpp
NI2tpp,NI2uabcpp
ACOAD3f,3HAD80
ACOAD3f,3HAD40
ACOAD3f,3OAS60
ACOAD3f,3OAR60
ACOAD3f,3OAR80
ACOAD3f,3OAS80
ACOAD3f,3OAR40
ACOAD3f,3HAD60
ACOAD2f,3HAD80
ACOAD2f,3HAD40
ACOAD2f,3OAS60
ACOAD2f,3OAR60
ACOAD2f,3OAR80
ACOAD2f,3OAS80
ACOAD2f,3OAR40
ACOAD2f,3HAD60
OPHHX3,OPHHXy
DALAt2pp,DALAtex
MN2tpp,MNt2pp
CLt3_2pp,CLtipp
POR5,FLDR2
CTECOAI7,3OAS161
CTECOAI7,3HAD161
CTECOAI7,3OAR161
RNTR1c2,NDPK8
RNTR2c2,NDPK5
I4FE4SR,SCYSDS
I4FE4SR,S2FE2SS
I4FE4SR,S4FE4ST
RNTR3c2,NDPK7
I2FE2SS,SCYSDS
I2FE2SS,S2FE2SS
I2FE2SS,S2FE2ST
I2FE2SS,S4FE4ST
I2FE2ST,SCYSDS
I2FE2ST,S2FE2SS
I2FE2ST,S2FE2ST
I2FE2SS2,SCYSDS
I2FE2SS2,S2FE2SS
I2FE2SS2,S4FE4ST
I4FE4ST,SCYSDS
I4FE4ST,S2FE2SS
I4FE4ST,S4FE4ST
ACOAD1fr,3HAD80
ACOAD1fr,3HAD40
ACOAD1fr,3OAS60
ACOAD1fr,3OAR60
ACOAD1fr,3OAR80
ACOAD1fr,3OAS80
ACOAD1fr,3OAR40
ACOAD1fr,3HAD60
AI2K,MTHTHFSs
AI2K,DHPTDCs2
PYK2,NDPK2
PYK6,NDPK4
PIt2rpp,PIuabcpp
PAI2I,MTHTHFSs
PAI2I,DHPTDCs2
I2FE2SR,S2FE2SR
I2FE2SR,SCYSDS
PAI2T,MTHTHFSs
PAI2T,DHPTDCs2
VALTA,ALATA_L
TKT1,RPE
IPDPS,DMPPS
TRDR,GTHOr
MALS,PPC
PRPPS,PPM
PAPSR,GTHOr
GARFT,GART
PSERT,GHMT2r
GND,RPE
PSP_L,GHMT2r
O2tpp,ENO
O2tpp,PGK
O2tpp,GAPD
TKT2,RPE
TKT2,TKT1
TKT2,GND
O2tex,ENO
