,rxns,diff_flux,abs_diff_flux,PathShort,PathLong,pathCommon,del_rxn1,del_rxn2,totalFluxDiff,solStatus,sl_size,common_sl_size,num_diff,net_diff,Organism,rxn1_short_bool,rxn2_short_bool,rxn1_cluster_len,rxn2_cluster_len,Subsystem 1,Subsystem 2,same_subsystems,Rxn_1_Type,Rxn_2_Type,PSL RSL Type,PSL Type
0,"['CS', 'ADSL1r', 'EX_phe__L_e', 'ADSS', 'ACONT', 'ADD', 'EX_hxan_e', 'EX_lys__L_e', 'EX_pro__L_e', 'EX_pyr_e', 'CDAPPA_HP', 'EX_ser__L_e', 'EX_thr__L_e', 'EX_trp__L_e', 'EX_tyr__L_e', 'EDA', 'EDD', 'FORt', 'EX_acald_e', 'G6PDH1', 'GMPR', 'HXPRT', 'ICDHyr', 'PGL', 'NDPK1', 'PYRDC']","[0.0004884891149039006, 0.046954215700554996, 0.0001421449836336297, 0.046954215700554996, 0.0004884891149039006, 0.04716653062496334, 0.0004371705203937981, 0.0002855821943912318, 0.0012223643716424704, 0.0003609282982578593, 0.00010785489348552935, 0.000995448512536544, 0.0001243243459612131, 0.0005770765377650158, 0.0001058010957727673, 4.312808026157161e-05, 4.312808026157161e-05, 0.00045572896793361073, 0.0006401720068501015, 4.312808026157161e-05, 0.00022485559598543758, 0.046729360104569545, 0.0004884891149039006, 4.312808026157161e-05, 0.04674987421016208, 0.0006401720068501015]","[0.0004884891149039006, 0.046954215700554996, 0.0001421449836336297, 0.046954215700554996, 0.0004884891149039006, 0.04716653062496334, 0.0004371705203937981, 0.0002855821943912318, 0.0012223643716424704, 0.0003609282982578593, 0.00010785489348552935, 0.000995448512536544, 0.0001243243459612131, 0.0005770765377650158, 0.0001058010957727673, 4.312808026157161e-05, 4.312808026157161e-05, 0.00045572896793361073, 0.0006401720068501015, 4.312808026157161e-05, 0.00022485559598543758, 0.046729360104569545, 0.0004884891149039006, 4.312808026157161e-05, 0.04674987421016208, 0.0006401720068501015]",['FORt'],"['CS', 'EX_phe__L_e', 'ACONT', 'ADD', 'EX_hxan_e', 'EX_lys__L_e', 'EX_pro__L_e', 'EX_pyr_e', 'CDAPPA_HP', 'EX_ser__L_e', 'EX_thr__L_e', 'EX_trp__L_e', 'EX_tyr__L_e', 'EDA', 'EDD', 'EX_acald_e', 'G6PDH1', 'GMPR', 'HXPRT', 'ICDHyr', 'PGL', 'PYRDC']","['ADSL1r', 'ADSS', 'NDPK1']",ADPT,ADD,0.38692563117969314,1,26,3,26.0,0.24251180033802225,iIT341,False,False,22,22,Salvage pathway of ATP,Purine metabolism,False,pFBAOpt_Rxns,MLE_Rxns,PSL,True
1,"['CS', 'ADSL1r', 'EX_phe__L_e', 'ADSS', 'ACONT', 'ADD', 'EX_lys__L_e', 'EX_pro__L_e', 'EX_pyr_e', 'CDAPPA_HP', 'EX_ser__L_e', 'EX_thr__L_e', 'EX_trp__L_e', 'EX_tyr__L_e', 'EDA', 'EDD', 'FORt', 'EX_acald_e', 'G6PDH1', 'GMPR', 'HXPRT', 'ICDHyr', 'PGL', 'NDPK1', 'TRPS1', 'PYRDC']","[0.0004884896550737261, 0.046954215745828615, 0.0001421450220638193, 0.046954215745828615, 0.0004884896550737261, 0.04716653017086711, 0.0002855822716009704, 0.0012223647208884358, 0.0003609292460903246, 0.0001078549583920433, 0.0009954489288300714, 0.00012432444478913118, 0.0005770763428264922, 0.00010580112437705291, 4.3128091921640355e-05, 4.3128091921640355e-05, 0.00045572905536872543, 0.0006401737435165681, 4.3128091921640355e-05, 0.00022485565677721198, 0.0467293600890514, 0.0004884896550737261, 4.3128091921640355e-05, 0.04674987420019011, 0.0005334636656023697, 0.0006401737435165681]","[0.0004884896550737261, 0.046954215745828615, 0.0001421450220638193, 0.046954215745828615, 0.0004884896550737261, 0.04716653017086711, 0.0002855822716009704, 0.0012223647208884358, 0.0003609292460903246, 0.0001078549583920433, 0.0009954489288300714, 0.00012432444478913118, 0.0005770763428264922, 0.00010580112437705291, 4.3128091921640355e-05, 4.3128091921640355e-05, 0.00045572905536872543, 0.0006401737435165681, 4.3128091921640355e-05, 0.00022485565677721198, 0.0467293600890514, 0.0004884896550737261, 4.3128091921640355e-05, 0.04674987420019011, 0.0005334636656023697, 0.0006401737435165681]",['FORt'],"['CS', 'EX_phe__L_e', 'ACONT', 'EX_lys__L_e', 'EX_pro__L_e', 'EX_pyr_e', 'CDAPPA_HP', 'EX_ser__L_e', 'EX_thr__L_e', 'EX_trp__L_e', 'EX_tyr__L_e', 'EDA', 'EDD', 'EX_acald_e', 'G6PDH1', 'GMPR', 'HXPRT', 'ICDHyr', 'PGL', 'TRPS1', 'PYRDC']","['ADSL1r', 'ADSS', 'ADD', 'NDPK1']",ADPT,HXPRT,0.3869257274163386,1,26,4,26.0,0.2426081002093134,iIT341,False,False,21,21,Salvage pathway of ATP,Salvage pathway of GTP,False,pFBAOpt_Rxns,MLE_Rxns,PSL,True
2,"['DAAD', 'EX_pi_e', 'AIRC3', 'AKO', 'ALAR', 'ANPRT', 'ANS2', 'ADD', 'DHORTS', 'EX_his__L_e', 'EX_hxan_e', 'EX_ile__L_e', 'ASPTA', 'EX_leu__L_e', 'EX_lys__L_e', 'EX_met__L_e', 'EX_trp__L_e', 'EX_tyr__L_e', 'EX_val__L_e', 'FADOX', 'FBA', 'FORt', 'GLUDy', 'GLUR', 'FTHFLi', 'G6PDH1', 'GMPR', 'GND', 'GAPD', 'EX_ala__L_e', 'H2Ot', 'MAN6PI', 'ME1', 'HSDy', 'PGCD', 'IGPS', 'IMPC', 'PMANM', 'PGL', 'PGMT', 'PHETA1', 'ORPT', 'TALA', 'PGAMT', 'TKT1', 'TKT2', 'TPI', 'PRAIi', 'TRPS1', 'PSERT', 'PSP_L', 'URIDK2r', 'PUTA3', 'RPE', 'RPI', 'SERD_L']","[13.96949677061797, 0.09837437457543396, 0.04478137141308103, 0.0712913504582327, 13.963636495737969, 0.02399315439999993, 0.02399315439999993, 0.012683931621722877, 0.03345240243999997, 0.00955479599999999, 0.012683931621722877, 0.02930137439999997, 0.15871971911370952, 0.0454383632, 0.03753973183999998, 0.031471587064799994, 0.029726031999999927, 0.01390753639999999, 0.042684352526390995, 14.040788121076204, 0.0665404274151864, 0.015124120712527861, 0.19456211268198587, 0.0029301374399999993, 0.009069564980527911, 0.024152251480694886, 0.029557230603999896, 0.024152251480694886, 0.21092698337807092, 0.8803267531624659, 0.5504832234077301, 0.0026753428800000006, 0.1646973373497801, 0.016342416871339083, 0.07536916815467265, 0.02399315439999993, 0.04478137141308103, 0.0026753428800000006, 0.024152251480694886, 0.00566917896, 0.01868493439999999, 0.03345240243999997, 0.03646037916794065, 0.009427398720000008, 0.03289325532794064, 0.03646037916794065, 0.08750014623494373, 0.02399315439999993, 0.02399315439999993, 0.07536916815467265, 0.07536916815467265, 0.002622260679999997, 0.004458904799999885, 0.06935363449588128, 0.044307478767186326, 0.1972612467397446]","[13.96949677061797, 0.09837437457543396, 0.04478137141308103, 0.0712913504582327, 13.963636495737969, 0.02399315439999993, 0.02399315439999993, 0.012683931621722877, 0.03345240243999997, 0.00955479599999999, 0.012683931621722877, 0.02930137439999997, 0.15871971911370952, 0.0454383632, 0.03753973183999998, 0.031471587064799994, 0.029726031999999927, 0.01390753639999999, 0.042684352526390995, 14.040788121076204, 0.0665404274151864, 0.015124120712527861, 0.19456211268198587, 0.0029301374399999993, 0.009069564980527911, 0.024152251480694886, 0.029557230603999896, 0.024152251480694886, 0.21092698337807092, 0.8803267531624659, 0.5504832234077301, 0.0026753428800000006, 0.1646973373497801, 0.016342416871339083, 0.07536916815467265, 0.02399315439999993, 0.04478137141308103, 0.0026753428800000006, 0.024152251480694886, 0.00566917896, 0.01868493439999999, 0.03345240243999997, 0.03646037916794065, 0.009427398720000008, 0.03289325532794064, 0.03646037916794065, 0.08750014623494373, 0.02399315439999993, 0.02399315439999993, 0.07536916815467265, 0.07536916815467265, 0.002622260679999997, 0.004458904799999885, 0.06935363449588128, 0.044307478767186326, 0.1972612467397446]","['FORt', 'H2Ot']","['DAAD', 'AKO', 'ADD', 'EX_hxan_e', 'EX_lys__L_e', 'EX_trp__L_e', 'EX_tyr__L_e', 'FADOX', 'FTHFLi', 'G6PDH1', 'GMPR', 'GND', 'PGL', 'TRPS1', 'PUTA3', 'SERD_L']","['EX_pi_e', 'AIRC3', 'ALAR', 'ANPRT', 'ANS2', 'DHORTS', 'EX_his__L_e', 'EX_ile__L_e', 'ASPTA', 'EX_leu__L_e', 'EX_met__L_e', 'EX_val__L_e', 'FBA', 'GLUDy', 'GLUR', 'GAPD', 'EX_ala__L_e', 'MAN6PI', 'ME1', 'HSDy', 'PGCD', 'IGPS', 'IMPC', 'PMANM', 'PGMT', 'PHETA1', 'ORPT', 'TALA', 'PGAMT', 'TKT1', 'TKT2', 'TPI', 'PRAIi', 'PSERT', 'PSP_L', 'URIDK2r', 'RPE', 'RPI']",ALAD_L,FADOX,117.4407350609353,1,56,38,56.0,45.83330623809161,iIT341,False,False,16,16,Alanine Metabolism,Respiratory chain,False,pFBAOpt_Rxns,MLE_Rxns,PSL,True
3,['ANS'],[0.035541255599999995],[0.035541255599999995],[],['ANS'],[],ANS2,ANS,0.10662376680000002,1,1,0,1.0,0.035541255599999995,iIT341,False,False,1,1,Chorismate Metabolism,Tryptophan Biosynthesis,False,pFBAOpt_Rxns,MLE_Rxns,PSL,True
4,"['FOLD3', 'HPPK']","[0.032908569999999956, 0.032908569999999956]","[0.032908569999999956, 0.032908569999999956]",[],"['FOLD3', 'HPPK']",[],DHPS,FOLD3,0.16454285000000002,1,2,0,2.0,0.06581713999999991,iIT341,False,False,2,2,Folate Biosynthesis,Folate Biosynthesis,True,pFBAOpt_Rxns,MLE_Rxns,PSL,True
5,"['FOLD3', 'HPPK']","[0.03290857000037099, 0.03290857000037099]","[0.03290857000037099, 0.03290857000037099]",[],"['FOLD3', 'HPPK']",[],DHPS,HPPK,0.1645428485013066,1,2,0,2.0,0.06581714000074199,iIT341,False,False,2,2,Folate Biosynthesis,Folate Biosynthesis,True,pFBAOpt_Rxns,MLE_Rxns,PSL,True
6,"['EX_phe__L_e', 'ADD', 'EX_glu__L_e', 'EX_hxan_e', 'EX_lys__L_e', 'EX_pro__L_e', 'CCP', 'CDAPPA_HP', 'EX_ser__L_e', 'EX_thr__L_e', 'EX_trp__L_e', 'EX_tyr__L_e', 'EDA', 'EDD', 'G6PDH2r', 'EX_akg_e', 'EX_asp__L_e', 'PGL', 'TRPS1']","[3.8206568977933175e-05, 5.7067350663631e-05, 8.906106409144188e-05, 0.00011750536696553127, 7.67611216494768e-05, 4.5587425120174885e-05, 0.06117963220475927, 2.898994747099759e-05, 0.00017922212432981005, 3.341585397720337e-05, 0.00012359983925575718, 2.8437843955161912e-05, 7.697185546332941e-05, 7.697185546332941e-05, 7.697185546332941e-05, 1.8171037390601885e-05, 0.0001684322771247082, 7.697185546332941e-05, 0.00011187736922844277]","[3.8206568977933175e-05, 5.7067350663631e-05, 8.906106409144188e-05, 0.00011750536696553127, 7.67611216494768e-05, 4.5587425120174885e-05, 0.06117963220475927, 2.898994747099759e-05, 0.00017922212432981005, 3.341585397720337e-05, 0.00012359983925575718, 2.8437843955161912e-05, 7.697185546332941e-05, 7.697185546332941e-05, 7.697185546332941e-05, 1.8171037390601885e-05, 0.0001684322771247082, 7.697185546332941e-05, 0.00011187736922844277]",[],"['EX_phe__L_e', 'EX_glu__L_e', 'EX_hxan_e', 'EX_lys__L_e', 'EX_pro__L_e', 'CCP', 'CDAPPA_HP', 'EX_ser__L_e', 'EX_thr__L_e', 'EX_trp__L_e', 'EX_tyr__L_e', 'EDA', 'EDD', 'G6PDH2r', 'EX_akg_e', 'EX_asp__L_e', 'PGL', 'TRPS1']",['ADD'],CAT,CCP,0.15404712499846182,1,19,1,19.0,0.06260385481681346,iIT341,False,False,18,18,ROS Detoxification,ROS Detoxification,True,pFBAOpt_Rxns,MLE_Rxns,PSL,True
7,"['CS', 'ADSK', 'EX_phe__L_e', 'ACONT', 'ANPRT', 'ANS2', 'ADD', 'EX_hxan_e', 'EX_lys__L_e', 'BPNT', 'EX_pro__L_e', 'EX_pyr_e', 'CDAPPA_HP', 'EX_ser__L_e', 'EX_thr__L_e', 'EX_trp__L_e', 'EX_tyr__L_e', 'GART', 'EDA', 'EDD', 'FORt', 'FTHFD', 'EX_acald_e', 'GMPR', 'ICDHyr', 'IGPS', 'P5CR', 'SULR', 'PAPSR', 'SULabc', 'PRAIi', 'TRPS1', 'PYRDC', 'SADT2']","[0.0041733007573228065, 0.00036844042220280054, 0.0010231709786536758, 0.0041733007573228065, 0.0034879055832548814, 0.0034879055832548814, 0.0011598165617011796, 0.002778345153558917, 0.002055643511658767, 0.0003687833915692479, 0.008752043126150966, 0.004388436846182342, 0.000776348395021295, 0.0072108147435120395, 0.0008639617590233684, 0.0038018330426145275, 0.0007615647625206362, 0.3347470639831732, 0.0003104393764778793, 0.0003104393764778793, 0.003280373385085961, 0.3317982328759998, 0.005368636032415636, 0.0016185285918577375, 0.0041733007573228065, 0.0034879055832548814, 0.007531214161231231, 0.00036844042220280054, 0.00036844042220280054, 0.00036844042220280054, 0.0034879055832548814, 0.0034879055832548814, 0.005368636032415636, 0.00036844042220280054]","[0.0041733007573228065, 0.00036844042220280054, 0.0010231709786536758, 0.0041733007573228065, 0.0034879055832548814, 0.0034879055832548814, 0.0011598165617011796, 0.002778345153558917, 0.002055643511658767, 0.0003687833915692479, 0.008752043126150966, 0.004388436846182342, 0.000776348395021295, 0.0072108147435120395, 0.0008639617590233684, 0.0038018330426145275, 0.0007615647625206362, 0.3347470639831732, 0.0003104393764778793, 0.0003104393764778793, 0.003280373385085961, 0.3317982328759998, 0.005368636032415636, 0.0016185285918577375, 0.0041733007573228065, 0.0034879055832548814, 0.007531214161231231, 0.00036844042220280054, 0.00036844042220280054, 0.00036844042220280054, 0.0034879055832548814, 0.0034879055832548814, 0.005368636032415636, 0.00036844042220280054]",[],"['CS', 'ADSK', 'EX_phe__L_e', 'ACONT', 'EX_hxan_e', 'EX_lys__L_e', 'EX_pro__L_e', 'EX_pyr_e', 'CDAPPA_HP', 'EX_ser__L_e', 'EX_thr__L_e', 'EX_trp__L_e', 'EX_tyr__L_e', 'EDA', 'EDD', 'FTHFD', 'EX_acald_e', 'GMPR', 'ICDHyr', 'SULR', 'PAPSR', 'SULabc', 'PYRDC', 'SADT2']","['ANPRT', 'ANS2', 'ADD', 'BPNT', 'GART', 'FORt', 'IGPS', 'P5CR', 'PRAIi', 'TRPS1']",GARFT,FTHFD,1.4204198025415102,1,34,10,34.0,0.7560759583865589,iIT341,False,False,24,24,IMP Synthesis,THF Metabolism,False,pFBAOpt_Rxns,MLE_Rxns,PSL,True
8,"['GARFT', 'FTHFLi']","[0.022411394169562837, 0.02241139419791388]","[0.022411394169562837, 0.02241139419791388]",[],['FTHFLi'],['GARFT'],GART,FTHFLi,0.06723418302421966,1,2,1,2.0,0.04482278836747672,iIT341,False,False,1,1,IMP Synthesis,THF Metabolism,False,pFBAOpt_Rxns,ELE_Rxns,PSL,True
9,['H2CO3D'],[2.1212179723097315],[2.1212179723097315],[],['H2CO3D'],[],HCO3E,H2CO3D,6.363653916901162,1,1,0,1.0,2.1212179723097315,iIT341,False,False,1,1,Others,Others,True,pFBAOpt_Rxns,ELE_Rxns,RSL,False
